1,2,3,4,5,6
Black Lotus,Ancestral Recall,Mox Ruby,Time Walk,Sol Ring,Mox Jet
Time Vault,Mox Sapphire,Mana Crypt,Mox Emerald,Demonic Tutor,Tinker
Voltaic Key,Mox Pearl,Force of Will,Mana Drain,Mind Twist,"Jace, The Mind Sculptor"
Mana Vault,Tolarian Academy,Snapcaster Mage,Null Rod,Vampiric Tutor,Mental Misstep
Tezzeret the Seeker,Brainstorm,Mystical Tutor,Fastbond,Thoughtseize,Chrome Mox
Dack Fayden,Grim Monolith,Library of Alexandria,Fact or Fiction,Dark Confidant,Painter's Servant
Ral Zarek,Metalworker,Spell Pierce,Channel,Stoneforge Mystic,True-Name Nemesis
Splinter Twin,Ancient Tomb,Crucible of Worlds,Lotus Cobra,Dark Depths,Sensei's Divining Top
Deceiver Exarch,Mishra's workshop,Strip Mine,Scalding Tarn,Phyrexian Revoker,Show and Tell
Izzet Signet,Power Artifact,Vendilion Clique,Lightning Bolt,Imperial Seal,Blightsteel Colossus
Azorious Signet,Upheaval,Sphere of Resistance,Wurmcoil Engine,Reanimate,Dark Ritual
Enlightened Tutor,Thran Dynamo,Chalice of the Void,Umezawa's Jitte,Skullclamp,Entomb
Volcanic Island,Sundering Titan,Counterspell,Sylvan Library,Hymn to Tourach,Grindstone
Swords to Plowshares,Karn Liberated,Mind over Matter,"Chandra, Torch of Defiance",Liliana of the Veil,Griselbrand
Path to Exile,Transmute Artifact,Tabernacle at Pendrell Vale,Survival of the Fittest,Inquisition of Kozilek,Verdant Catacombs
Ponder,"Ugin, the Spirit Dragon",Underground Sea,Tropical Island,Duress,Natural Order
Preordain,Wasteland,Temple Bell,Song of the Dryads,Bitterblossom,Necropotence
Flusterstorm,Pithing Needle,Thorn of Amethyst,Mana Leak,Batterskull,Cabal Ritual
Pact of Negation,Trinisphere,Maze of Ith,Tarmogoyf,Toxic Deluge,Polluted Delta
Flooded Strand,Timetwister,High Tide,Misty Rainforest,Dismember,Exhume
Arid Mesa,Lodestone Golem,Pallinchron,Cryptic Command,Grave Titan,Daze
Karakas,Balance,Academy Ruins,Chaos Warp,Diabolic Edict,Spell Snare
Tundra,Muddle the Mixture,Rishadan Port,Cascade Bluffs,Containment Priest,Mox Diamond
"Emrakul, the Aeons Torn",Oblivion Stone,Watery Grave,Hurkyl's Recall,Oblivion Ring,"Urborg, Tomb of Yawgmoth"
"Nahiri, the Harbinger",Phyrexian Metamorph,Lab Maniac,Steam Vents,Leyline of Sanctity,Protean Hulk
Banishing Light,Hallowed Fountain,Stony Silence,Flame Slash,"Kataki, War's Wage",Overgrown Tomb
"Venser, Shaper Savant",Worn Powerstone,Gilded Drake,Spirebluff Canal,Night's Whisper,Flash
Saheeli Rai,Thirst for Knowledge,Rebuild,Dualcaster Mage,Sign in Blood,Elvish Spirit Guide
Felidar Guardian,Basalt Monolith,"Teferi, Mage of Zhalfir",Fiery Confluence ,Monastery Mentor,Windswept Heath
Auriok Salvagers,Mox Opal,Bribery,Trygon Predator,Rest in Peace,Bayou
Blue Sun's Zenith,Stroke of Genius,Mystic Gate,Man of War,Leyline of the Void,Abrupt Decay
Pestermite,Adarkar Wastes,Sunken Ruins,Obstinate Baloth,Helm of Obedience,Birds of Paradise
Zealous Conscripts,City of Traitors,Disrupt,"Edric, Spymaster of Trest",Doom Blade,Pentad Prism
Ingot Chewer,Thought-Knot Seer,Sower of Temptation,Torrential Gearhulk,Vampire Hexmage,Garruk Wildspeaker
Wear//Tear,Hangarback Walker,jace memory adept,Primeval Titan,Vindicate,Lotus Petal
Wandering Fumarole,Mindslaver,Dread return,"Niv-Mizzet, Dracogenius",Anguished Unmaking,Negate
Mindbreak Trap,Walking Ballista,Beacon of Tomorrows,"Thrun, the Last Troll",Lingering Souls,Eternal Witness
Sacred Foundry,Steel Hellkite,Archaeomancer,Serendib Efreet,Scrubland,Revilark
Dispel,Defense Grid,Grave crawler,Mindsparker,Marsh Flats,body double
Reflector Mage,Inventor's Fair,Diregraff Ghoul,Kird Ape,Godless Shrine,Plateau
Heart of Kiran,Seat of the Synod,Dhund operative,Taiga,Orzhov Charm,Nature's claim
Lightning Helix,Ancient Den,Damnation,Wooded Foothills,Sadistic Sacrament,animate dead
Pyroblast,Myr Battlesphere,Bloodsoaked Champion,Fire-Lit Thicket,Tidehollow Sculler,necromancy
"Daretti, Scrap Savant",Kuldotha Forgemaster,Vampire Lacerator,Flooded Grove,Fetid Heath,elvish mystic
skip,Duplicant,Geth's verdict,Torpor Orb,Isolated Chapel,progenitus
