J,M,R,E,S
Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Jet
Time Vault,Time Walk,Mox Ruby,Mox Emerald,Mox Pearl
Demonic Tutor,Force of Will,Mana Crypt,Mishra's Workshop,Mana Vault
Vampiric Tutor,Snapcaster Mage,Strip Mine,Grim Monolith,Tinker
"Oko, Thief of Crowns",Windfall,Wasteland,Voltaic Key,Tolarian Academy
Imperial Seal,Oath of Druids,"Jace, the Mind Sculptor",Brainstorm,Mind Twist
Underground Sea,Mystical Tutor,Volcanic Island,Library of Alexandria,Liliana of The Veil
Verdant Catacombs,Cryptic Command,Mana Drain,Mox Opal,Polluted Delta
Thoughtseize,Frantic Search,Scalding Tarn,Batterskull,Watery Grave
Tropical Island,Birthing Pod,Force of Negation,Skullclamp,Flooded Strand
Misty Rainforest,Breeding Pool,Spell Pierce,Stoneforge Mystic,Hymn to Tourach
Yawgmoth's Will,Mental Misstep,Daze,Trinket Mage,Duress
Lion's-Eye Diamond,Counterspell,Remand,"Thada Adel, Acquisitor",Ponder
Bayou,Hermit Druid,Serum Visions,Phyrexian Metamorph,Preordain
Shelldock Isle,Tundra,True-Name Nemesis,Show and Tell,Blighsteel Colossus
Darkslick Shores,hinterland harbor,Bloodstained Mire,Umezawa's Jitte,Dig Through Time
Inquisition of Kozilek,Waterlogged Grove,Ancestral Vision,Dramatic Reversal,"Narset, Parter of Veils"
Dark Confidant,Swan Song,Treasure Cruise,Isochron Scepter,Swords to Plowshares
"Karn, the Great Creator",Sensei's Divining Top,Mystical Dispute,Orim's Chant,Creeping Tar Pit
Painter's Servant,"Jace, Wielder of Mysteries",Miscalculation,Tezzeret the Seeker,Marsh Flats
Grindstone,"Jace, Cunning Castaway",Vendilion Clique,Enlightened Tutor,Brazen Borrower
Thought Erasure,Deep Analysis,Arid Mesa,Tribute Mage,"Jace, Vryn's Prodigy"
Deathrite Shaman,Tangle Wire,Wooded Foothills,Path to Exile,"Ashiok, Dream Render"
Thassa's Oracle,Spore Frog,Dack Fayden,"Urza, Lord High artificer","Ashiok, Nightmare Weaver"
Demonic Consultation,Magus of the Library,Phantasmal Image,Phyrexian Revoker,"Teferi, Time Raveler"
Prismatic Vista,Mesmeric Orb,Consecrated Sphinx,Seat of the Synod,Baleful Strix
Cabal Therapy,crucible of worlds,Splinter Twin,Ancient Den,Drown in the Loch
Veil of Summer,Glacial Chasm,Pestermite,Hurkyl's Recall,"Lavinia, Azorius Renegade"
Once Upon a Time,Hedron Crab,Deceiver Exarch,Hallowed Fountain,Rest in Peace
Collective Brutality,lumbering falls,Steam Vents,"Emry, Lurker of the Loch",Helm of Obedience
Blooming Marsh,yavimaya coast,"Kiki-Jiki, Mirror Breaker",Mana Tithe,Celestial Colonade
Ice-fang Coatl,Laboratory Maniac,Zealous Conscripts,Gitaxian Probe,Balance
Hissing Quagmire,flooded grove,Wandering Fumarole,Ancient Tomb,Negate
Overgrown Tomb,botanical sanctum,Pyroblast,Academy Ruins,Council's Judgment
Birds of Paradise,life from the loam,Red Elemental Blast,Wurmcoil Engine,Dismember
Lim-Dul's Vault,Cyclonic rift,Steel Sabotage,Basalt Monolith,Thief of Sanity 
Fact or Fiction,Golgari Grave-Troll,Blood Moon,Sword of Fire and Ice,Stonecoil Serpent
Nature's Claim,song of the dryads,Lightning Bolt,Lodestone Golem,Scrubland
Abrupt Decay,rampant growth,Bonecrusher Giant,Etched Champion,Monastery Mentor
Gilded Goose,trygon predator,Goblin Guide,Emrakul the Aeons Torn,Disenchant
Fatal Push,tarmogoyf,Sower of Temptation,Chromatic Star,Mystic Sanctuary
Temple of Malady,memory's journey,Legion Warboss,Seachrome Coast,Time Warp
"Leovold, Emissary of Trest",aphetto alchemist,Abrade,Chromatic Sphere,Glen Elendra Archmage
Galvanic Key,seeker of skybreak,Spirebluff Canal,Sword of Feast and Famine,Toxic Deluge
Sylvan Library,Leveler,Commandeer,Walking Ballista,Sundering Titan 
